1,2023,0614,12:17:36,Q03---,[1]線種  dr，2,[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"，["dr=2"，"Color=red"])
2,2023,0614,12:47:36,Q03---,[1]線種  "dr，4"，"da"，"do，2，3",[2]Color=  [1，0，0],[3]行    Plotdata("1"，"x^2"，"x"，["Color=[1，0，0]"，"dr，4"，"da"，"do，2，3"])
3,2023,0614,12:14:5,Q03---,[1]線種  ["dr，2"],[2]Color=  ["Color=red"],[3]行    Plotdata("1"，"x^2"，"x"，["dr，2"，"Color=red"])
4,2023,0614,13:10:30,Q03---,[1]線種  dr2,[2]Color= red,[3]行    Plotdata("1"，"x^2"，"x"，["dr，2"，"Color=red"])
5,2023,0614,12:10:31,Q03---,[1]線種  "dr，4",[2]Color=  "Color=greenyellow",[3]行    Plotdata("1"，"x^2"，"x"，["dr，4"，"Color=greenyellow"])
8,2023,0614,12:13:4,Q03---,[1]線種  dr,[2]Color=  red,[3]行    Plotdata("test"，"x^2"，"x"，[Color=red"])
9,2023,0614,12:11:13,Q03---,[1]線種  ["dr，1"],[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"，["Color=red"])
11,2023,0614,12:18:30,Q03---,[1]線種  Listplot("1"，["dr，1"]);,[2]Color=  Color=red,[3]行    Plotdata("1"，"x^2"，"x"，["Color=red"])
12,2023,0614,12:12:6,Q03---,[1]線種  da,[2]Color=  black,[3]行    Plotdata("1"，"x^2"，"x"，["da"，"Num=200"，"Color=black"])
13,2023,0614,12:28:28,Q03---,[1]線種  ["dr，2"],[2]Color=  ["Color=red"],[3]行    Plotdata("1"，"x^2"，"x"，["dr，2"])
14,2023,0614,12:11:54,Q03---,[1]線種  dr，2,[2]Color=  red,[3]行    Plotdata("1"，"y=x^2"，"x"，["dr，2"，"Color=red"])
16,2023,0614,12:17:39,Q03---,[1]線種  "dr，2",[2]Color=  blue,[3]行    Plotdata("1"，"x^2"，"x"，["dr，2"，"Color=blue"])
17,2023,0614,12:3:46,Q03---,[1]線種  ["da"],[2]Color=  blue,[3]行    Plotdata("1"， "x^2"， "x"， ["da"， "color=blue"])
18,2023,0614,12:8:44,Q03---,[1]線種  "dr，2",[2]Color=  [0，0.61，0.87，0],[3]行    Plotdata("kadai0614"，"x^2"，"x"，["Num=100"， "dr，2"， "Color=[0，0.61，0.87，0]"])
19,2023,0614,12:9:22,Q03---,[1]線種  da,[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"，["da"，"Color=red"])
20,2020,2306,401:1:48,Q03---,[1]線種  dr,[2]Color=  blue,[3]行    Plotdate("1"，"sin(x)"，"x"，["color=blue"])
21,2023,0614,12:5:34,Q03---,[1]線種  ["dr，2"，"da，2"，"do，2"]]);,[2]Color=  blue,[3]行    Plotdata("1"，"x^2"，"x"，["Num=200"，"Color=blue"，"dr，2"，"da，2"，"do，2"])
22,2023,0614,13:3:55,Q03---,[1]線種  ["dr，2"],[2]Color=  ["Color=red"],[3]行    Plotdata("1"，"x^2"，"x")
24,2023,0614,12:10:46,Q03---,[1]線種  "dr，2",[2]Color=  yellow,[3]行    Plotdata("1"，"y=x^2"，"x"，["Color=yellow"，"dr，2"])
25,2023,0614,12:10:7,Q03---,[1]線種  "da",[2]Color=  dandelion,[3]行    Plotdata("1"，"x^2"，"x"，["da"，"Color=dandelion"])
26,2023,0614,12:5:9,Q03---,[1]線種  dr,[2]Color=  green,[3]行    Plotdata("1"，"y=x^2"，"x"，["dr，4，"，"Num=200"，"Color=green"])
27,2023,0614,12:13:43,Q03---,[1]線種  do，2,[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"， ["do，2"，"Color=red"])
28,2023,0614,12:10:16,Q03---,[1]線種  'dr，1',[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"，["color=red"，"dr，1"])
29,2023,0614,12:13:31,Q03---,[1]線種  dr,[2]Color=  red,[3]行    Plotdata("1"，"sin(x)"，"x"，["Color=red"])
31,2023,0614,12:12:36,Q03---,[1]線種  ["da，2"],[2]Color=  ["Color=blue"],[3]行    Plotdata("1"，"x^2"，"x"，["da，2"，"Color=blue"])
32,2023,0614,12:19:20,Q03---,[1]線種  ["dr，2"],[2]Color=  blue,[3]行    Plotdata("1"，"x^2"，"x"，["Color=blue"])
33,2023,0614,12:11:22,Q03---,[1]線種  dr,[2]Color=  apricot,[3]行    Plotdata("1"，"x^2"，"x"， ["da，1"，"Color=apricot"])
34,2023,0614,12:10:58,Q03---,[1]線種  "dr",[2]Color=  red,[3]行    Plotdata("1"，"(x)^2"，"x"，["color=red"])
35,2023,0614,12:22:33,Q03---,[1]線種  "dr，2",[2]Color=  red,[3]行    Plotdata("1"，"x^2"，"x"，["dr，2"，"Color=red"])
36,2023,0614,12:9:33,Q03---,[1]線種  dr，2,[2]Color=  apricot,[3]行    [2]Color=  plotdata("1"，"sin(x)"，["Color=apricot"])
37,2023,0614,12:18:30,Q03---,[1]線種  do，3，3,[2]Color=  red,[3]行    Plotdata("2"，"x^2"，"x=[-4，4]"，["do，3，3"，"Color=red"])
41,2023,0614,12:6:11,Q03---,[1]線種  dr,[2]Color=  apricot,[3]行    Plotdata("1"，"x^2"，"x"，["dr，6"，"Color=apricot"])
42,2023,0614,12:20:25,Q03---,[1]線種  "dr，1",[2]Color=  "red",[3]行    Plotdata("1"，"sin(x)"，"x"，["color=red"])
