1,2023,0614,12:20:58,Q04---,[1]  このプログラミングにおけるコードの書き方。,[2]  ありません。,[3]  ありません。丁寧な説明をして頂きありがとうございました。
2,2023,0614,12:51:8,Q04---,[1]  関数が簡単に描けること,[2]  2次関数のdoについて,[3]
3,2023,0614,12:21:15,Q04---,[1]  図形の線を破線や太線、色付きの線に変更することができることを知った。,[2]  先生が解説に使用していた資料の所在が分からなかった。,[3]  解説資料を頂けると嬉しいです。
4,2023,0614,13:15:16,Q04---,[1]  スクリプトエディタを使って図形を作成でき
5,2023,0614,12:18:53,Q04---,[1]  ketCindyでスクリプトを利用するとPythonのように様々な操作ができること,[2]  PDFファイルにしたときに左上に小さく図が表示されてしまっていて、PDF全体に大きく表示する仕方がわからなかった,[3]  [２]と同じでPDF全体に図を表示する方法
6,2023,0614,12:25:54,Q04---,[1]  色などが変えられること,[2]  途中から分からなくなったので見直したい,[3]
8,2023,0614,12:25:14,Q04---,[1]  想像以上に難しかった,[2]  コードの入力の仕方が分からなかった,[3]  授業前に予習したいので、授業資料の事前配布してほしいです
9,2023,0614,12:24:33,Q04---むずかしかったが，きれいな図形を描くことを知った．,[1]  きれいな図形を描くことができた,[2]  先生の口頭の説明では，操作方法が一発で理解できなかった．,[3]  授業資料の共有を授業開始時にお願いしたいです
11,2023,0614,12:21:27,Q04---,[1]  線の太さや形を変えたり、線の滑らかさを変えたりすることができること。,[2]  2次関数の課題の答え方(どこをコピーするのか)がわからなかったが、図に反映されているのでたぶんできていると思います。,[3]  なし
13,2023,0614,12:29:37,Q04---,[1]  スクリプトから描画できること,[2]  ありません,[3]  ありがとうございました
14,2023,0614,12:21:40,Q04---,[1]  KetCindyの使い方で線の変え方やグラフの書き方を知ることができた。,[2]  特にないです。,[3]
16,2023,0614,12:21:21,Q04---,[1]  スクリプトの指定の仕方(色や線の種類など),[2]  (Helpの使い方がわからなかった→)わかるようになりました。,[3]  特にありません。ありがとうございました。
17,2023,0614,12:10:0,Q04---,[1]  Scriptで点を追加する方法 // ScriptでPlotdataを使ってグラフを描く方法,[2]  特になし,[3]  特になし
18,2023,0614,12:18:28,Q04---,[1]  ketcindyを用いた図形描画、グラフ描画,[2]  特になし。簡単に図形・グラフが描けて面白かったです。,[3]
19,2023,0614,12:18:20,Q04---,[1]  図形とグラフの描き方,[2]  特になし,[3]
20,2020,2306,401:11:33,Q04---,[1]  グラフの書き方と色の替え方,[2]  Q02 のやり方がわからなかった,[3]
21,2023,0614,12:17:11,Q04---,[1]  グラフの書き方や編集の仕方,[2]  特になし,[3]  ありがとうございました。
22,2023,0614,13:5:18,Q04---わからない学生には個別で対応していて，とても良いと思いました．理解しやすい講義でした．,[1],[2],[3]
24,2023,0614,12:19:6,Q04---,[1]  放物線の書き方,[2]  範囲指定,[3]
25,2023,0614,12:18:54,Q04---,[1]  グラフの線種や色を指定する方法が分かりました。,[2]  特にないです。,[3]  特にないです。
26,2023,0614,12:18:7,Q04---,[1]  シンデレラの利用方法,[2]  とくにない,[3]  とくにない
27,2023,0614,12:18:16,Q04---,[1]  このプログラムの使い方がよく分かった,[2]  特にないです,[3]  意外と使いやすくて驚きました
28,2023,0614,12:18:33,Q04---,[1]  pythonを使っていたので理解するのは簡単だった．また，このように数式をグラフに示すのがこんなに簡単にできると思うとこれから用いていきたいと思った．,[2]  特になし,[3]  特になし
29,2023,0614,12:19:51,Q04---,[1]  ketでは作図だけでなく，座標軸を消したり，文字の色の変更ができる,[2]  特にありません,[3]
31,2023,0614,12:18:31,Q04---,[1]  スクリプトエディターで図形を操作できること,[2]  とくにありません,[3]
32,2023,0614,12:21:32,Q04---,[1]  二次関数の書き方が分かった。,[2]  プログラミングはとても難しかった,[3]
33,2023,0614,12:19:23,Q04---,[1]  スクリプトの基本的な動かし方や作図をする際に利用することのできる説明書の見方,[2]  特になし,[3]
34,2023,0614,12:19:39,Q04---,[1]  放物線の書き方,[2]  定義域の指定の仕方,[3]
36,2023,0614,12:19:6,Q04---,[1]  ketcindyを用いた放物線の描きかた，色の指定方法,[2]  特にありません,[3]
37,2023,0614,12:20:51,Q04---,[1]  関数を覚えていなくても、Helpにより簡単にできること,[2]  特になし,[3]
41,2023,0614,12:21:5,Q04---,[1]  グラフの線の種類や色の種類をスクリプトで指定できる。,[2]  特になし。,[3]  特にないです。
