1,2023,0614,10:59:33,Q01---,[1]=  1,[2]=  2
2,2023,0614,11:39:43,Q01---,[1]=  1,[2]=  1
3,2023,0614,10:59:15,Q01---,[1]=  1,[2]=  2
4,2023,0614,11:1:46,Q01---,[1]=  1,[2]=  1
5,2023,0614,10:58:1,Q01---,[1]=  1,[2]=  1
5,2023,0614,10:59:47,Q01---,[1]=  1,[2]=  1
6,2023,0614,10:58:17,Q01---,[1]=  1,[2]=  2
7,2023,0614,11:13:48,Q01---,[1]=１,[2]=  0
8,2023,0614,10:59:14,Q01---,[1]=  1,[2]=  2
9,2023,0614,10:59:27,Q01---,[1]=  1,[2]=  2
11,2023,0614,10:58:0,Q01---,[1]=  1,[2]=  2
12,2023,0614,10:58:13,Q01---,[1]=  1,[2]=  1
13,2023,0614,10:58:0,Q01---,[1]=  1,[2]=  2
14,2023,0614,10:58:16,Q01---,[1]=  1,[2]=  2
16,2023,0614,10:57:56,Q01---,[1]=  1,[2]=  2
17,2023,0614,10:57:52,Q01---,[1]=  1,[2]=  2
18,2023,0614,10:58:59,Q01---,[1]=  1,[2]=  2
19,2023,0614,10:59:27,Q01---,[1]=  1,[2]=  2
20,2020,2306,399:52:34,Q01---,[1]=  1,[2]=  2
21,2023,0614,10:57:52,Q01---,[1]=  1,[2]=  2
22,2023,0614,10:57:43,Q01---,[1]=  1,[2]=  2
24,2023,0614,10:57:39,Q01---,[1]=  1,[2]=  2
25,2023,0614,10:58:57,Q01---,[1]=  1,[2]=  2
27,2023,0614,11:0:14,Q01---,[1]=  １　はい,[2]=  １：はい
28,2023,0614,10:58:56,Q01---,[1]=  1,[2]=  1
29,2023,0614,11:1:32,Q01---,[1]=  1,[2]=  2
31,2023,0614,10:58:16,Q01---,[1]=  はい,[2]=  2
32,2023,0614,10:58:11,Q01---,[1]=  1,[2]=  1
33,2023,0614,10:58:7,Q01---,[1]=  1,[2]=  1
34,2023,0614,10:59:2,Q01---,[1]=  1,[2]=  2
35,2023,0614,10:59:0,Q01---,[1]=  はい,[2]=  先週発生したエラーが解消しました．お手数お掛けしました．
36,2023,0614,10:58:58,Q01---,[1]=  1,[2]=  2
37,2023,0614,10:58:0,Q01---,[1]=  1,[2]=  2
41,2023,0614,11:1:11,Q01---,[1]=  1,[2]=  2
42,2023,0614,11:1:26,Q01---,[1]=  1,[2]=  2
42,2023,0614,11:3:22,Q01---,[1]=  しています,[2]=  いいえ
___,2023,0614,11:0:48,Q01---1,[1]=  1,[2]=  2
